FileID,Northing (m),Easting (m),TVDSS (m),Umin (m),Uint (m),Umax (m),Azimuth Umax (deg),Elevation Umax (deg),relative ot (s),Confidence Index,SNR mean P,SNR mean S,Mw P,Mw S,Mw (calibrated),,
20230719_195243.480,4263108.44,335766.73,685.15,12.87,13.27,43.38,271.15,90.30,2.492,58,60,57,1.09,1.03,-0.09,,
20230719_200016.600,4263123.97,335771.09,676.99,9.25,11.66,44.12,270.00,92.02,2.504,46,87,40,1.01,0.84,-0.22,,
20230719_202520.200,4262956.30,335717.33,740.00,12.25,12.78,21.12,272.51,89.72,2.491,34,29,19,0.98,0.83,-0.25,,
20230719_203619.360,4263102.63,335673.26,592.90,12.38,12.84,42.42,270.80,88.50,2.543,56,50,72,1.32,1.29,0.15,,
20230719_205922.900,4262972.77,335725.36,735.57,15.75,16.28,23.53,271.16,89.14,2.461,42,30,15,0.71,0.72,-0.43,,
20230719_210647.360,4263023.21,335636.00,629.21,8.14,9.59,18.49,270.50,92.47,2.512,30,16,13,0.47,0.52,-0.66,,
20230719_212938.900,4263157.45,335698.14,588.21,12.81,15.10,41.71,86.58,92.61,2.502,28,17,11,0.53,0.58,-0.60,,
20230719_214758.140,4263175.95,335678.80,596.74,15.89,17.26,30.58,76.57,88.63,2.504,38,47,26,0.64,0.65,-0.50,,
20230719_221324.580,4263095.56,335760.04,690.42,14.24,14.43,36.68,89.46,90.97,2.495,53,65,36,0.87,0.81,-0.31,,
20230719_223221.820,4263160.14,335689.90,590.74,11.07,16.92,36.06,272.37,90.88,2.474,27,15,10,0.40,0.48,-0.71,,
20230719_223604.600,4263103.46,335781.68,649.33,15.14,15.96,36.46,90.04,90.19,2.488,39,24,20,0.86,0.78,-0.33,,
20230719_231149.120,4263043.10,335711.05,630.60,0.52,4.76,6.20,53.09,89.94,2.500,27,19,19,0.89,0.66,-0.37,,
20230719_234254.620,4263100.69,335760.38,695.60,13.72,13.88,24.13,89.98,90.02,2.480,63,46,74,1.23,1.31,0.12,,
20230720_000643.220,4263162.12,335637.31,616.41,4.68,9.65,27.77,88.42,89.21,2.536,27,24,17,0.50,0.47,-0.66,,
